picture,time,user_agent,ip
puppy1,2019-02-26 19:27:05.104742,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:28.0) Gecko/28.0 Firefox/28.0",167.99.34.75
kitten1,2019-02-26 19:27:05.166977,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:28.0) Gecko/28.0 Firefox/28.0",167.99.34.75
kitten1,2019-02-26 19:27:05.214871,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:28.0) Gecko/28.0 Firefox/28.0",167.99.34.75
puppy3,2019-02-26 19:27:05.258976,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:28.0) Gecko/28.0 Firefox/28.0",167.99.34.75
kitten3,2019-02-26 19:27:05.303941,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:28.0) Gecko/28.0 Firefox/28.0",167.99.34.75
puppy3,2019-02-26 19:27:05.352585,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:28.0) Gecko/28.0 Firefox/28.0",167.99.34.75
kitten2,2019-02-26 19:27:05.395395,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:28.0) Gecko/28.0 Firefox/28.0",167.99.34.75
kitten2,2019-02-26 19:27:05.439161,"User-Agent,""Mozilla/5.0 (Linux; U; Android 4.2; en-us; Nexus 10 Build/JVP15I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",248.194.198.47
puppy2,2019-02-26 19:27:05.482572,"User-Agent,""Mozilla/5.0 (Linux; U; Android 4.2; en-us; Nexus 10 Build/JVP15I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",248.194.198.47
kitten2,2019-02-26 19:27:05.526570,"User-Agent,""Mozilla/5.0 (Linux; U; Android 4.2; en-us; Nexus 10 Build/JVP15I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",248.194.198.47
kitten1,2019-02-26 19:27:05.569671,"User-Agent,""Mozilla/5.0 (Linux; U; Android 4.2; en-us; Nexus 10 Build/JVP15I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",248.194.198.47
kitten3,2019-02-26 19:27:06.094528,"User-Agent,""Mozilla/5.0 (Linux; U; Android 4.2; en-us; Nexus 10 Build/JVP15I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",248.194.198.47
puppy2,2019-02-26 19:27:06.141716,"User-Agent,""Mozilla/5.0 (Linux; U; Android 4.2; en-us; Nexus 10 Build/JVP15I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",248.194.198.47
